0:52,268,415
1:274,824,117
2:
3:455,464,519
4:10,34,40
5:22,70,119
6:53,59,62
7:
8:137,224,686
9:53,54,103
10:4,40,189
11:37,194,345
12:
13:37,38,70
14:190,465,490
15:50,208,262
16:
17:33,95,97
18:
19:
20:60,158,171
21:30,59,76
22:5,148,205
23:123,463,537
24:34,40,55
25:
26:
27:
28:270,313,422
29:52,415,418
30:21,59,79
31:462,522,548
32:
33:17,43,82
34:4,24,68
35:323,467,522
36:
37:11,13,116
38:13,509,725
39:
40:4,10,24
41:59,97,180
42:107,165,175
43:33,205,288
44:667,939,801
45:
46:320,434,582
47:70,174,227
48:77,252,297
49:
50:15,65,202
51:
52:0,4,29
53:6,9,55
54:9,91,111
55:24,53,62
56:
57:
58:68,504,671
59:6,21,30
60:20,171,175
61:
62:6,24,55
63:
64:40,73,77
65:50,262,428
66:483,963,87
67:297,613,772
68:34,58,70
69:79,88,140
70:5,13,24
71:82,111,117
72:88,136,148
73:59,64,111
74:24,59,70
75:834,904,398
76:21,168,190
77:48,64,80
78:
79:30,69,253
80:21,77,89
81:109,113,126
82:4,33,34
83:
84:320,349,483
85:113,400,405
86:70,505,610
87:334,395,429
88:13,64,69
89:80,111,172
90:197,377,418
91:54,107,111
92:101,111,126
93:64,153,180
94:6,53,62
95:17,153,166
96:
97:4,17,34
98:
99:745,921,933
100:117,168,241
101:88,92,117
102:
103:9,53,55
104:97,115,116
105:208,395,468
106:236,492,514
107:13,42,91
108:
109:17,81,145
110:488,76,454
111:13,54,59
112:
113:40,59,81
114:
115:24,73,104
116:4,37,62
117:24,71,100
118:309,219,668
119:5,113,184
120:174,200,234
121:
122:
123:23,53,88
124:
125:202,282,623
126:81,92,197
127:
128:
129:301,417,431
130:55,77,139
131:88,423,434
132:
133:
134:70,181,311
135:
136:72,309,737
137:8,91,266
138:
139:130,162,217
140:30,69,330
141:239,801,168
142:
143:440,706,791
144:37,115,297
145:4,109,189
146:13,40,111
147:
148:13,22,71
149:
150:442,474,691
151:220,249,799
152:
153:4,93,95
154:193,211,815
155:
156:262,479,839
157:53,228,319
158:20,338,344
159:165,317,384
160:
161:
162:17,139,167
163:282,447,470
164:
165:5,42,159
166:17,95,153
167:162,389,454
168:37,76,88
169:
170:308,607,14
171:20,60,208
172:80,89,111
173:
